Task 0:
  Chunk 0 (Big):
    Start: 69526310538 cycles
    End: 69526518106 cycles
    Duration: 207568 cycles
  Chunk 1 (GPU):
    Start: 69526518137 cycles
    End: 69527003942 cycles
    Duration: 485805 cycles
  Chunk 2 (Little):
    Start: 69527028081 cycles
    End: 69527199864 cycles
    Duration: 171783 cycles
  Chunk 3 (Medium):
    Start: 69527229624 cycles
    End: 69527446264 cycles
    Duration: 216640 cycles
Task 1:
  Chunk 0 (Big):
    Start: 69526518107 cycles
    End: 69526708455 cycles
    Duration: 190348 cycles
  Chunk 1 (GPU):
    Start: 69527003955 cycles
    End: 69527350008 cycles
    Duration: 346053 cycles
  Chunk 2 (Little):
    Start: 69527350046 cycles
    End: 69527498796 cycles
    Duration: 148750 cycles
  Chunk 3 (Medium):
    Start: 69527498814 cycles
    End: 69527668441 cycles
    Duration: 169627 cycles
Task 2:
  Chunk 0 (Big):
    Start: 69526708459 cycles
    End: 69526807177 cycles
    Duration: 98718 cycles
  Chunk 1 (GPU):
    Start: 69527350022 cycles
    End: 69527697327 cycles
    Duration: 347305 cycles
  Chunk 2 (Little):
    Start: 69527697362 cycles
    End: 69527918749 cycles
    Duration: 221387 cycles
  Chunk 3 (Medium):
    Start: 69527921720 cycles
    End: 69528070350 cycles
    Duration: 148630 cycles
Task 3:
  Chunk 0 (Big):
    Start: 69526807178 cycles
    End: 69526999244 cycles
    Duration: 192066 cycles
  Chunk 1 (GPU):
    Start: 69527697348 cycles
    End: 69528039409 cycles
    Duration: 342061 cycles
  Chunk 2 (Little):
    Start: 69528039426 cycles
    End: 69528181388 cycles
    Duration: 141962 cycles
  Chunk 3 (Medium):
    Start: 69528181408 cycles
    End: 69528331436 cycles
    Duration: 150028 cycles
Task 4:
  Chunk 0 (Big):
    Start: 69526999245 cycles
    End: 69527190598 cycles
    Duration: 191353 cycles
  Chunk 1 (GPU):
    Start: 69528039417 cycles
    End: 69528321816 cycles
    Duration: 282399 cycles
  Chunk 2 (Little):
    Start: 69528321854 cycles
    End: 69528464440 cycles
    Duration: 142586 cycles
  Chunk 3 (Medium):
    Start: 69528464458 cycles
    End: 69528606511 cycles
    Duration: 142053 cycles
Task 5:
  Chunk 0 (Big):
    Start: 69527190598 cycles
    End: 69527294618 cycles
    Duration: 104020 cycles
  Chunk 1 (GPU):
    Start: 69528321826 cycles
    End: 69528597485 cycles
    Duration: 275659 cycles
  Chunk 2 (Little):
    Start: 69528597514 cycles
    End: 69528742901 cycles
    Duration: 145387 cycles
  Chunk 3 (Medium):
    Start: 69528742910 cycles
    End: 69528874506 cycles
    Duration: 131596 cycles
Task 6:
  Chunk 0 (Big):
    Start: 69527294620 cycles
    End: 69527394373 cycles
    Duration: 99753 cycles
  Chunk 1 (GPU):
    Start: 69528597504 cycles
    End: 69528830400 cycles
    Duration: 232896 cycles
  Chunk 2 (Little):
    Start: 69528830431 cycles
    End: 69528981374 cycles
    Duration: 150943 cycles
  Chunk 3 (Medium):
    Start: 69528981387 cycles
    End: 69529107840 cycles
    Duration: 126453 cycles
Task 7:
  Chunk 0 (Big):
    Start: 69527394373 cycles
    End: 69527493961 cycles
    Duration: 99588 cycles
  Chunk 1 (GPU):
    Start: 69528830416 cycles
    End: 69529062311 cycles
    Duration: 231895 cycles
  Chunk 2 (Little):
    Start: 69529062350 cycles
    End: 69529206299 cycles
    Duration: 143949 cycles
  Chunk 3 (Medium):
    Start: 69529206317 cycles
    End: 69529330529 cycles
    Duration: 124212 cycles
Task 8:
  Chunk 0 (Big):
    Start: 69527493962 cycles
    End: 69527588732 cycles
    Duration: 94770 cycles
  Chunk 1 (GPU):
    Start: 69529062328 cycles
    End: 69529292731 cycles
    Duration: 230403 cycles
  Chunk 2 (Little):
    Start: 69529293155 cycles
    End: 69529435846 cycles
    Duration: 142691 cycles
  Chunk 3 (Medium):
    Start: 69529435866 cycles
    End: 69529567568 cycles
    Duration: 131702 cycles
Task 9:
  Chunk 0 (Big):
    Start: 69527588745 cycles
    End: 69527684279 cycles
    Duration: 95534 cycles
  Chunk 1 (GPU):
    Start: 69529292745 cycles
    End: 69529521207 cycles
    Duration: 228462 cycles
  Chunk 2 (Little):
    Start: 69529521325 cycles
    End: 69529661875 cycles
    Duration: 140550 cycles
  Chunk 3 (Medium):
    Start: 69529661887 cycles
    End: 69529786725 cycles
    Duration: 124838 cycles
Task 10:
  Chunk 0 (Big):
    Start: 69527684283 cycles
    End: 69527775279 cycles
    Duration: 90996 cycles
  Chunk 1 (GPU):
    Start: 69529521209 cycles
    End: 69529724839 cycles
    Duration: 203630 cycles
  Chunk 2 (Little):
    Start: 69529724873 cycles
    End: 69529871696 cycles
    Duration: 146823 cycles
  Chunk 3 (Medium):
    Start: 69529871714 cycles
    End: 69529996405 cycles
    Duration: 124691 cycles
Task 11:
  Chunk 0 (Big):
    Start: 69527775280 cycles
    End: 69527867780 cycles
    Duration: 92500 cycles
  Chunk 1 (GPU):
    Start: 69529724839 cycles
    End: 69529929006 cycles
    Duration: 204167 cycles
  Chunk 2 (Little):
    Start: 69529929023 cycles
    End: 69530088262 cycles
    Duration: 159239 cycles
  Chunk 3 (Medium):
    Start: 69530088283 cycles
    End: 69530212075 cycles
    Duration: 123792 cycles
Task 12:
  Chunk 0 (Big):
    Start: 69527867781 cycles
    End: 69527960393 cycles
    Duration: 92612 cycles
  Chunk 1 (GPU):
    Start: 69529929007 cycles
    End: 69530122102 cycles
    Duration: 193095 cycles
  Chunk 2 (Little):
    Start: 69530122131 cycles
    End: 69530284255 cycles
    Duration: 162124 cycles
  Chunk 3 (Medium):
    Start: 69530284271 cycles
    End: 69530410100 cycles
    Duration: 125829 cycles
Task 13:
  Chunk 0 (Big):
    Start: 69527960399 cycles
    End: 69528054741 cycles
    Duration: 94342 cycles
  Chunk 1 (GPU):
    Start: 69530122111 cycles
    End: 69530302473 cycles
    Duration: 180362 cycles
  Chunk 2 (Little):
    Start: 69530302487 cycles
    End: 69530465937 cycles
    Duration: 163450 cycles
  Chunk 3 (Medium):
    Start: 69530465946 cycles
    End: 69530591579 cycles
    Duration: 125633 cycles
Task 14:
  Chunk 0 (Big):
    Start: 69528054741 cycles
    End: 69528146354 cycles
    Duration: 91613 cycles
  Chunk 1 (GPU):
    Start: 69530302482 cycles
    End: 69530483524 cycles
    Duration: 181042 cycles
  Chunk 2 (Little):
    Start: 69530483543 cycles
    End: 69530628262 cycles
